idx|tags|query|parameter
1||normalize EACHPEACH[{select from x where time<0D8}; quote]|
2||normalize EACHPEACH[{select from x where seq=0}; trade]|
3||normalize EACHPEACH[{select from x where 0<seq, ex within "AZ", time within 0D 1D, size < 0Wi-1}; trade]|
4||normalize EACHPEACH[{select from x where time within 0D10:00:00 0D10:00:10}; trade]|
5||select from quote[anInfreqInstr] where time within 0D08:30 0D16:30|
6||normalize EACHPEACH[{select time, price, size, stop, cond, ex from x where source = "N"}; trade]|
7||select time, mid: (bid + ask) %2 from quote mostFreqInstr|
8||select time, mid: (bid + ask) %2 from select from quote mostFreqInstr|
9||`mid xdesc select time, mid: (bid + ask) %2 from quote mostFreqInstr|
10||select sym: aFreqInstr, time, bid, ask, bsize, asize, cond, ex from quote aFreqInstr|
11||normalize EACHPEACH[{select time, bid, ask, bsize, asize, cond, ex from x where 2000<bsize+asize}; fivehundredInfreqInstrs#quote]|
12||select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize from quote anInfreqInstr|
13||select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 0D00:10 xbar time, ex from quote anInfreqInstr|
14||.pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 0D00:10 xbar time, ex from quote anInfreqInstr|
15||`time xasc(uj/) EACHPEACH[{res: (`time, x) xcol select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 0D00:10 xbar time from quote x; $[count res; res; ()]}; fivehundredInfreqInstrs]|
16||fills `time xasc (uj/) EACHPEACH[{res: (`time, x) xcol select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 0D00:10 xbar time from quote x; $[count res; res; ()]}; fivehundredInfreqInstrs]|
17||select avgSpread: avg ask - bid by 0D00:10 xbar time from quote aFreqInstr|
18||normalize EACHPEACH[{0!select avgSpread: avg ask - bid by 0D00:10 xbar time from x}; hundredInstrs#quote]|
19||select avgWeightedSpread: (asize + bsize) wavg ask - bid from quote anInfreqInstr|
20||select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by exnames ex from quote mostFreqInstr|
21||select avgWeightedSpread: sizes wavg spread, devSpread: dev spread, maxSpread: max spread, minSpread: min spread by exnames ex from (select ex, sizes: asize + bsize, spread: ask - bid from quote mostFreqInstr)|
22||normalize EACHPEACH[{0!select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by exnames ex from x}; hundredInstrs#quote]|
23||select avgWeightedSpread: size wavg spread, devSpread: dev spread, maxSpread: max spread, minSpread: min spread by ex from  normalize EACHPEACH[{select exnames ex, spread: ask - bid, size: asize+ bsize from x where shortSaleRestrictionIndicator="0"}; quote]|
24||normalize EACHPEACH[{select distinct ex from x where size > 700000}; trade]|
25||normalize EACHPEACH[{select weightedBidPice: bsize wavg bid, weightedOfferPice: asize wavg ask from x}; twentyInstrs#quote]|
26||select time, 20 mavg price from trade mostFreqInstr|
27||normalize EACHPEACH[{select time, movingLiqWMid: 5 mavg ((bsize * bid) + asize * ask) % bsize + asize, movingsize: 5 mavg asize + bsize from x}; twentyInstrs#quote]|
28||select time, sums size from trade aFreqInstr|
29||normalize EACHPEACH[{select time, sums size from x where ex = "L"}; trade]|
30||normalize EACHPEACH[{update movingvwap:(sums price * size) % sums size from select time, price, size from x where time within 0D08:00 0D08:15}; trade]|
31||normalize EACHPEACH[{select time, sums size from x where ex = "T"}; trade]|
32||select from normalize EACHPEACH[{select from x where size = (max;size) fby ex}; trade] where size = (max;size) fby ex|
33||(update tag:`maxbid from select from quote[mostFreqInstr] where bid=(max; bid) fby ex, time=(min;time) fby ex), update tag: `minask from select from quote[mostFreqInstr] where ask=(min; ask) fby ex, time=(min;time) fby ex|
34||normalize EACHPEACH[{select from x where size = (min;size) fby ex}; trade]|
35||normalize EACHPEACH[{select from (select seqDecr: seq where (<) prior seq from x) where 0 < count each seqDecr}; trade]|
36||update key[timeBuckets] timeBucket from `ex`timeBucket xasc select sum cnt, sum size by ex, timeBucket from normalize EACHPEACH[{0!select cnt: count i, sum size by ex, timeBucket: value[timeBuckets] bin time from x}; trade]|
37||normalize EACHPEACH[{0!select cnt: count i, sum size by timeBucket: timeBucketsStep time from x where not corr=0}; trade]|
38||normalize EACHPEACH[{0!select o: first price, h: max price, l: min price, c: last price, s: sum size by 0D00:05 xbar time from x where not null stop}; hundredInstrs#trade]|
39||update inbal: (bsize - asize) % bsize + asize from select first asize, first bsize by time.minute from quote anInfreqInstr|
40||normalize EACHPEACH[{select wsumAsk:asize wsum ask, wsumBid: bid wsum bsize, sdevasksize: sdev asize, sdevbid:sdev bid, corPrice:ask cor bid, corSize: asize cor bsize from x}; fivehundredInfreqInstrs#quote]|
41||normalize EACHPEACH[{select from x where price = min price}; trade]|
42||select first price, FirstTime: first time, LastTime: last time, cnt: count size, sum size by pricegroup: sums differ price from trade mostFreqInstr|
