idx|tags|query|parameter
1||quote[quote["time"] < timedelta(hours=8)]|
2||trade.query("seq == 0")|
3||trade[(trade["seq"] > 0) & (trade["price"] > 0) & trade["time"].between(timedelta(), timedelta(days=1)) & (trade["size"] < 2147483647)]|
4||trade[trade["time"].between(timedelta(hours=10), timedelta(hours=10, seconds=10))]|
5||quote[(quote["sym"] == anInfreqInstr) &(quote["time"] >= timedelta(hours=8, minutes=30)) &(quote["time"] <= timedelta(hours=16, minutes=30))]|
6||quote[(quote["sym"].isin(hundredInstrs)) & (quote["time"] >= timedelta(hours=8, minutes=30)) & (quote["time"] <= timedelta(hours=8, minutes=35))]|
7||trade.query("source == 'N'")[["sym", "time", "price", "size", "stop", "cond", "ex"]]|
8||quote.query("sym == @mostFreqInstr").assign(mid=(quote['bid'] + quote['ask']) / 2)[["time", "mid"]]|
9||quote.query("sym == @mostFreqInstr").assign(mid=(quote['bid'] + quote['ask']) / 2)[quote.columns.to_list() + ["mid"]][["time", "mid"]]|
10||quote.query("sym == @mostFreqInstr").assign(mid=(quote['bid'] + quote['ask']) / 2)[["time", "mid"]].sort_values("mid", ascending=False, kind='stable')|
11||quote.query("sym == @aFreqInstr")[["sym", "time", "bid", "ask", "bsize", "asize", "cond", "ex"]]|
12||quote.query("sym in @fivehundredInfreqInstrs and (bsize + asize > 2000)")[["sym", "time", "bid", "ask", "bsize", "asize", "cond", "ex"]]|
13||pd.DataFrame({'avgLiqWMid': [quote.query("sym == @anInfreqInstr").eval("(bsize * bid + asize * ask) / (asize + bsize)").dropna().mean()]})|
14||quote.query("sym == @anInfreqInstr").eval("LiqWMid=(bsize * bid + asize * ask) / (asize + bsize)").groupby([quote["time"].dt.floor('10min'), "ex"], observed=True).agg(avgLiqWMid=("LiqWMid", "mean")).reset_index()|
15||quote.query("sym == @anInfreqInstr").eval("LiqWMid=(bsize * bid + asize * ask) / (asize + bsize)").groupby([quote["time"].dt.floor('10min'), "ex"], observed=True).agg(avgLiqWMid=("LiqWMid", "mean")).pivot_table(index="time", columns="ex", values="avgLiqWMid").reset_index()|
16||quote.query("sym in @fivehundredInfreqInstrs").eval("LiqWMid=(bsize * bid + asize * ask) / (asize + bsize)").groupby([quote["time"].dt.floor('10min'), "sym"], observed=True).agg(avgLiqWMid=("LiqWMid", "mean")).pivot_table(index="time", columns="sym", values="avgLiqWMid").reset_index()|
17||quote.query("sym in @fivehundredInfreqInstrs").eval("LiqWMid=(bsize * bid + asize * ask) / (asize + bsize)").groupby([quote["time"].dt.floor('10min'), "sym"], observed=True).agg(avgLiqWMid=("LiqWMid", "mean")).pivot_table(index="time", columns="sym", values="avgLiqWMid").ffill().reset_index()|
18||quote.query("sym == @aFreqInstr").eval("spread=ask - bid").groupby(quote["time"].dt.floor('10min'), observed=True).agg(avgSpread=("spread", "mean")).reset_index()|
19||quote.query("sym in @hundredInstrs").eval("spread=ask - bid").groupby(["sym", quote["time"].dt.floor('10min')], observed=True).agg(avgSpread=("spread", "mean")).reset_index()|
20|||
21|||
22|||
23|||
24|||
25||trade[trade["size"] > 700000][["sym", "ex"]].drop_duplicates()|
26|||
27|||
28|||
29|||
30|||
31|||
32|||
33||trade[trade["size"] == trade.groupby("ex", observed=True)["size"].transform("max")]|
34|||
35||trade[trade["size"] == trade.groupby(["ex", "sym"], observed=True)["size"].transform("min")]|
36|||
37|||
38|||
39|||
40||quote.query("sym == @anInfreqInstr").groupby(quote["time"].dt.floor("1min").rename("minute"), observed=True).agg(asize=("asize", "first"), bsize=("bsize", "first")).reset_index().assign(inbal=lambda df: (df["bsize"] - df["asize"]) / (df["bsize"] + df["asize"]))|
41|||
42||trade[trade["price"] == trade.groupby("sym", observed=True)["price"].transform("min")]|
43|||
44|||
45|||
46||pd.DataFrame({'medMidSize': [quote.query("sym == @anInfreqInstr").eval("bsize + asize").median()]})|
47||trade.groupby("ex", observed=True)["size"].median().rename("medSize").reset_index()|
48||pd.merge_asof(trade.query("sym in @twentyInstrs")[["sym", "time", "price", "size", "stop", "cond", "ex"]].assign(sym=lambda df: df["sym"].astype(str)), quote.query("sym in @twentyInstrs")[["sym", "time", "bid", "ask", "bsize", "asize", "cond", "ex"]].rename(columns={"cond": "quotecond", "ex": "quoteex"}).assign(sym=lambda df: df["sym"].astype(str)), on="time", by="sym")|
49||pd.merge_asof(trade.query("sym == @aFreqInstr")[["time", "price", "size", "stop", "cond", "ex"]], quote.query("sym == @aFreqInstr")[["time", "bid", "ask", "bsize", "asize", "cond", "ex"]].rename(columns={"cond": "quotecond", "ex": "quoteex"}), on="time")|
50||pd.merge_asof(trade[trade["size"] > 500000][["sym", "time", "price", "size", "stop", "cond", "ex"]].assign(sym=lambda df: df["sym"].astype(str), ex=lambda df: df["ex"].astype(str)), quote[["sym", "time", "bid", "ask", "bsize", "asize", "cond", "ex"]].rename(columns={"cond": "quotecond"}).assign(sym=lambda df: df["sym"].astype(str), ex=lambda df: df["ex"].astype(str)), by=["sym", "ex"], on="time")|
