idx|tags|query|parameter
1||select from quote where date=min date, time<0D8|
2||select from trade where seq=0|
3||select from trade where 0<seq, (first each ex) within "AZ", time within 0D 1D, size < 0Wi-1|
4||select from trade where date=min date, time within 0D10:00:00 0D10:00:10|
5||select from quote where mysym = anInfreqInstr, time within 0D08:30 0D16:30|
6||select from quote where mysym in hundredInstrs, time within 0D08:30 0D08:35|
7||select date, mysym, time, price, size, stop, cond, ex from trade where date=min date, source ~\: enlist "N"|
8||select time, MidPrice: (bid + ask) %2 from quote where mysym = mostFreqInstr|
9||select time, MidPrice: (bid + ask) %2 from select from quote where mysym = mostFreqInstr|
10||`mid xdesc select time, mid: (bid + ask) %2 from quote where mysym = mostFreqInstr|
11||select date, mysym, time, bid, ask, bsize, asize, cond, ex from quote where mysym = aFreqInstr|
12||select date, mysym, time, bid, ask, bsize, asize, cond, ex from quote where mysym in fivehundredInfreqInstrs, 2000<bsize+asize|
13||select avgMid: avg ((bsize * bid) + asize * ask) % bsize + asize from quote where mysym = anInfreqInstr|
14||select avgMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 0D00:10 xbar time, ex from quote where mysym = anInfreqInstr|
15||.pvt.pivot select avgMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 0D00:10 xbar time, ex from quote where mysym = anInfreqInstr|
16||.pvt.pivot select avgMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 0D00:10 xbar time, sym from quote where mysym in fivehundredInfreqInstrs|
17||fills .pvt.pivot select avgMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 0D00:10 xbar time, sym from quote where mysym in fivehundredInfreqInstrs|
18||select avgSpread: avg ask - bid by 0D00:10 xbar time from quote where mysym = aFreqInstr|
19||select avgSpread: avg ask - bid by mysym, 0D00:10 xbar time from quote where mysym in hundredInstrs|
20||select avgWeightedSpread: (asize + bsize) wavg ask - bid from quote where mysym = anInfreqInstr|
21||select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by exnames ex from quote where date=min date, mysym=mostFreqInstr|
22||select avgWeightedSpread: sizes wavg spread, devSpread: dev spread, maxSpread: max spread, minSpread: min spread by exnames ex from (select ex, sizes: asize + bsize, spread: ask - bid from quote where date=min date, mysym=mostFreqInstr)|
23||select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by mysym, exnames ex from quote where date=min date, mysym in hundredInstrs|
24||select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by exnames ex from quote where date=min date, shortSaleRestrictionIndicator ~\: enlist "0"|
25||distinct select mysym, ex from trade where size > 700000|
26||select weightedBidPice: bsize wavg bid, weightedOfferPice: asize wavg ask by mysym from quote where mysym in twentyInstrs|
27||select time, 20 mavg price from trade where mysym = mostFreqInstr|
28||ungroup select time, movingLiqWMid: 5 mavg ((bsize * bid) + asize * ask) % bsize + asize, movingsize: 5 mavg asize + bsize by mysym from quote where mysym in twentyInstrs|
29||select time, sums size from trade where mysym = aFreqInstr|
30||select time, sums size from trade where ex ~\: enlist "L"|
31||update movingvwap:(sums price * size) % sums size by mysym from select mysym, time, price, size from trade where time within 0D08:00 0D08:15|
32||select time, sums size from trade where ex ~\: enlist "T"|
33||select from trade where size = (max;size) fby ex|
34||(update tag:`maxbid from select from quote where mysym=mostFreqInstr, bid=(max; bid) fby ex, time=(min;time) fby ex), update tag: `minask from select from quote where mysym=mostFreqInstr, ask=(min; ask) fby ex, time=(min;time) fby ex|
35||select from trade where size = (min;size) fby ([] ex;mysym)|
36||ungroup select from (select seqDecr: seq where (<) prior seq by mysym from trade) where 0 < count each seqDecr|
37||update key[timeBuckets] timeBucket from `ex`timeBucket xasc select cnt: count i, sum size by ex, timeBucket: value[timeBuckets] bin time from trade where date=min date|
38||select cnt: count i, sum size by mysym, timeBucket: timeBucketsStep time from trade where date=min date, not corr=0|
39||select o: first price, h: max price, l: min price, c: last price, s: sum size by mysym, 0D00:05 xbar time from trade where mysym in hundredInstrs, 0 < count each stop|
40||update inbal: (bsize - asize) % bsize + asize from select first asize, first bsize by minute: `minute$0D00:01 xbar time from quote where mysym = anInfreqInstr|
41||select wsumAsk:asize wsum ask, wsumBid: bid wsum bsize, sdevasksize: sdev asize, sdevbid:sdev bid, corPrice:ask cor bid, corSize: asize cor bsize by mysym from quote where mysym in fivehundredInfreqInstrs|
42||select from trade where price = (min;price) fby sym|
43||select first price, FirstTime: first time, LastTime: last time, cnt: count size, sum size by pricegroup: sums differ price from trade where mysym=mostFreqInstr|
44||select first price, FirstTime: first time, LastTime: last time, cnt: count size, sum size by mysym, pricegroup: (sums differ@;price) fby sym from trade where mysym in hundredInstrs|
45||select first price, FirstTime: first time, LastTime: last time, cnt: count size, sum size by mysym, pricegroup: (sums differ@;price) fby sym from trade where ex in enlist each "LM"|
46|||
47|||
48|||
49|||
50|||
