idx|tags|query|parameter
1||quote.select(where=kx.Column('time') <  time(8, 0))|
2||trade.select(where=kx.Column('seq') == 0)|
3||trade.select(where=(kx.Column('seq') > 0) & kx.Column('ex').within(b"A", b"Z") & kx.Column('time').within(time(0), time(23, 59, 59, 999999)) & (kx.Column('size') < 2147483647))|
4||trade.select(where=kx.Column('time').within(time(10, 0), time(10, 0, 10)))|
5||quote.select(where=(kx.Column('sym') == anInfreqInstr) & kx.Column('time').within(time(8, 30), time(16, 30)))|
6||quote.select(where=(kx.Column('sym').isin(hundredInstrs)) & kx.Column('time').within(time(8, 30), time(8, 35)))|
7||trade.select(columns=['sym', 'time', 'price', 'size', 'stop', 'cond', 'ex'], where=kx.Column('source') == b'N')|
8||quote.select(columns=kx.Column('time') & ((kx.Column('bid') + kx.Column('ask')) / 2).name('mid'), where=kx.Column('sym') == mostFreqInstr)|
9||quote.select(where=kx.Column('sym') == mostFreqInstr).select(columns=kx.Column('time') & ((kx.Column('bid') + kx.Column('ask')) / 2).name('mid'))|
10||quote.select(columns=kx.Column('time') & ((kx.Column('bid') + kx.Column('ask')) / 2).name('mid'), where=kx.Column('sym') == mostFreqInstr).sort_values(by='mid', ascending=False)|
11||quote.select(columns=['sym', 'time', 'bid', 'ask', 'bsize', 'asize', 'cond', 'ex'], where=kx.Column('sym') == aFreqInstr)|
12||quote.select(columns=['sym', 'time', 'bid', 'ask', 'bsize', 'asize', 'cond', 'ex'], where=kx.Column('sym').isin(fivehundredInfreqInstrs) & ((kx.Column('bsize') + kx.Column('asize')) > 2000))|
13||quote.select(columns=((kx.Column('bsize') * kx.Column('bid') + kx.Column('asize') * kx.Column('ask')) / (kx.Column('bsize') + kx.Column('asize'))).avg().name('avgLiqWMid'), where=kx.Column('sym') == anInfreqInstr)|
14||quote.select(columns=((kx.Column('bsize') * kx.Column('bid') + kx.Column('asize') * kx.Column('ask')) / (kx.Column('bsize') + kx.Column('asize'))).avg().name('avgLiqWMid'), where=kx.Column('sym') == anInfreqInstr, by=kx.Column('time').minute.xbar(10) & kx.Column('ex'))|
15|||
16|||
17|||
18||quote.select(columns=(kx.Column('ask') - kx.Column('bid')).avg().name('avgSpread'), where=kx.Column('sym') == aFreqInstr, by=kx.Column('time').minute.xbar(10))|
19||quote.select(columns=(kx.Column('ask') - kx.Column('bid')).avg().name('avgSpread'), where=kx.Column('sym').isin(hundredInstrs), by= kx.Column('sym') & kx.Column('time').minute.xbar(10))|
20||quote.select(columns=(kx.Column('asize') + kx.Column('bsize')).wavg(kx.Column('ask') - kx.Column('bid')).name('avgWeightedSpread'), where=kx.Column('sym') == anInfreqInstr)|
21||quote.select(columns=(kx.Column('asize') + kx.Column('bsize')).wavg(kx.Column('ask') - kx.Column('bid')).name('avgWeightedSpread') & (kx.Column('ask') - kx.Column('bid')).dev().name('devSpread') & (kx.Column('ask') - kx.Column('bid')).max().name('maxSpread') & (kx.Column('ask') - kx.Column('bid')).min().name('minSpread'), where=kx.Column('sym') == mostFreqInstr, by=kx.Column('ex').call('exnames'))|
22||quote.select(columns=kx.Column('ex') & (kx.Column('asize') + kx.Column('bsize')).name("sizes") & (kx.Column('ask') - kx.Column('bid')).name('spread'), where=kx.Column('sym') == mostFreqInstr).select(columns=kx.Column('sizes').wavg(kx.Column('spread')).name('avgWeightedSpread') & kx.Column('spread').dev().name('devSpread') & kx.Column('spread').max().name('maxSpread') & kx.Column('spread').min().name('minSpread'), by=kx.Column('ex').call('exnames'))| |
23||quote.select(columns=(kx.Column('asize') + kx.Column('bsize')).wavg(kx.Column('ask') - kx.Column('bid')).name('avgWeightedSpread') & (kx.Column('ask') - kx.Column('bid')).dev().name('devSpread') & (kx.Column('ask') - kx.Column('bid')).max().name('maxSpread') & (kx.Column('ask') - kx.Column('bid')).min().name('minSpread'), where=kx.Column('sym').isin(hundredInstrs), by=kx.Column('sym') & kx.Column('ex').call('exnames'))|
24||quote.select(columns=(kx.Column('asize') + kx.Column('bsize')).wavg(kx.Column('ask') - kx.Column('bid')).name('avgWeightedSpread') & (kx.Column('ask') - kx.Column('bid')).dev().name('devSpread') & (kx.Column('ask') - kx.Column('bid')).max().name('maxSpread') & (kx.Column('ask') - kx.Column('bid')).min().name('minSpread'), where=kx.Column('shortSaleRestrictionIndicator')==b'0', by=kx.Column('ex').call('exnames'))|
25||trade.select(columns=['sym', 'ex'], where=kx.Column('size') > 700000).drop_duplicates()|
26||quote.select(columns=kx.Column('bsize').wavg(kx.Column('bid')).name('weightedBidPice') & kx.Column('asize').wavg(kx.Column('ask')).name('weightedOfferPice'), where=kx.Column('sym').isin(twentyInstrs), by='sym')|
27||trade.select(columns=kx.Column('time') & kx.Column('price').mavg(20), where=kx.Column('sym') == mostFreqInstr)|
28||kx.q.ungroup(quote.select(columns=kx.Column('time') & ((kx.Column('asize') * kx.Column('ask') + kx.Column('bsize') * kx.Column('bid')) / (kx.Column('asize') + kx.Column('bsize'))).mavg(5).name('movingLiqWMid') & (kx.Column('asize') + kx.Column('bsize')).mavg(5).name('movingsize'), where=kx.Column('sym').isin(twentyInstrs), by='sym'))|
29||trade.select(columns=kx.Column('time') & kx.Column('size').sums(), where=kx.Column('sym') == aFreqInstr)|
30||trade.select(columns=kx.Column('time') & kx.Column('size').sums(), where=kx.Column('ex') == b'L')|
31||trade.select(columns=['sym', 'time', 'price', 'size'], where=kx.Column('time').within(time(8), time(8, 15))).update(columns=((kx.Column('price') * kx.Column('size')).sums() / kx.Column('size').sums()).name('movingvwap'), by=kx.Column("sym"))|
32||trade.select(columns=kx.Column('time') & kx.Column('size').sums(), where=kx.Column('ex') == b'T')|
33||trade.select(where=kx.Column('size') == kx.Column.fby(kx.Column('ex'), kx.q.max, kx.Column('size')))|
34||kx.q.raze([quote.select(where=(kx.Column('sym') == mostFreqInstr) & (kx.Column('bid') == kx.Column.fby(kx.Column('ex'), kx.q.max, kx.Column('bid'))) & (kx.Column('time') == kx.Column.fby(kx.Column('ex'), kx.q.min, kx.Column('time')))).update({'tag': '`maxbid'}), quote.select(where=(kx.Column('sym') == mostFreqInstr) & (kx.Column('ask') == kx.Column.fby(kx.Column('ex'), kx.q.min, kx.Column('ask'))) & (kx.Column('time') == kx.Column.fby(kx.Column('ex'), kx.q.min, kx.Column('time')))).update({'tag': '`minask'})])|
35||trade.select(where=kx.Column('size') == kx.Column.fby(kx.Column('ex') & kx.Column('sym'), kx.q.min, kx.Column('size')))|
36|||
37|||
38||trade.select(columns=kx.Column('price').count().name('cnt') & kx.Column('size').sum(), where=~kx.Column('corr') == 0, by=kx.Column('sym') & kx.Column('time').call('timeBucketsStep').name('timeBucket'))|
39||trade.select(columns=kx.Column('price').first().name('o') & kx.Column('price').max().name('h') & kx.Column('price').min().name('l') & kx.Column('price').last().name('c') & kx.Column('size').sum().name('s'), where=kx.Column('sym').isin(hundredInstrs) & ~ kx.Column('stop').null(), by=kx.Column('sym') & kx.Column('time').minute.xbar(5))|
40||quote.select(columns=kx.Column('asize').first() & kx.Column('bsize').first(), where=kx.Column('sym') == anInfreqInstr, by=kx.Column('time').minute.name('minute')).update(columns=((kx.Column('bsize') - kx.Column('asize')) / (kx.Column('bsize') + kx.Column('asize'))).name('inbal'))|
41||quote.select(columns=kx.Column('asize').wsum(kx.Column('ask')).name('wsumAsk') & kx.Column('bsize').wsum(kx.Column('bid')).name('wsumBid') & kx.Column('asize').sdev().name('sdevasksize') & kx.Column('bid').sdev().name('sdevbid') & kx.Column('ask').cor(kx.Column('bid')).name('corPrice') & kx.Column('asize').cor(kx.Column('bsize')).name('corSize'), where=kx.Column('sym').isin(fivehundredInfreqInstrs), by="sym")|
42||trade.select(where=kx.Column('price') == kx.Column.fby(kx.Column('sym'), kx.q.min, kx.Column('price')))|
43||trade.select(columns=kx.Column('price').first() & kx.Column('time').first().name('FirstTime') & kx.Column('time').last().name('LastTime') & kx.Column('size').count().name('cnt') & kx.Column('size').sum(), where=kx.Column('sym') == mostFreqInstr, by=kx.Column('price').differ().sums().name('pricegroup'))|
44||trade.select(columns=kx.Column('price').first() & kx.Column('time').first().name('FirstTime') & kx.Column('time').last().name('LastTime') & kx.Column('size').count().name('cnt') & kx.Column('size').sum(), where=kx.Column('sym').isin(hundredInstrs), by=kx.Column('sym') & kx.Column.fby(kx.Column('sym'), kx.q('sums differ@'), kx.Column('price')).name('pricegroup'))|
45||trade.select(columns=kx.Column('price').first() & kx.Column('time').first().name('FirstTime') & kx.Column('time').last().name('LastTime') & kx.Column('size').count().name('cnt') & kx.Column('size').sum(), where=kx.Column('ex').isin([b"L", b"M"]), by=kx.Column('sym') & kx.Column.fby(kx.Column('sym'), kx.q('sums differ@'), kx.Column('price')).name('pricegroup'))|
46||quote.select(columns=(kx.Column('bsize') + kx.Column('asize')).med().name('medMidSize'), where=kx.Column('sym') == anInfreqInstr)|
47||trade.select(columns=kx.Column('size').med().name('medSize'), by="ex")|
48||trade.select(columns=["sym", "time", "price", "size", "stop", "cond", "ex"], where=kx.Column('sym').isin(twentyInstrs)).merge_asof(quote.select(columns=kx.Column('sym') & kx.Column('time') & kx.Column('bid') & kx.Column('ask') & kx.Column('bsize') & kx.Column('asize') & kx.Column('cond').name('quotecond') & kx.Column('ex').name('quoteex')), on="time", by="sym")|
49||trade.select(columns=["time", "price", "size", "stop", "cond", "ex"], where=kx.Column('sym') == aFreqInstr).merge_asof(quote.select(columns=kx.Column('time') & kx.Column('bid') & kx.Column('ask') & kx.Column('bsize') & kx.Column('asize') & kx.Column('cond').name('quotecond') & kx.Column('ex').name('quoteex'), where=kx.Column('sym') == aFreqInstr), on="time")|
50||trade.select(columns=["sym", "time", "price", "size", "stop", "cond", "ex"], where=kx.Column('size') > 500000).merge_asof(quote.select(columns=kx.Column('sym') & kx.Column('time') & kx.Column('bid') & kx.Column('ask') & kx.Column('bsize') & kx.Column('asize') & kx.Column('cond').name('quotecond') & kx.Column('ex')), on="time", by=["sym", "ex"])|
